S.No,Station,City,Mode of PS,Discipline,Industry Domain,Project Domain,Projects,Remarks
306,SaaSDen- Product Research,Bangalore,Onsite,Any,Management,Management/Product Research,1,"Announced on March 22, 2024"
310,Semi-conductor laboratory,Mohali,Onsite,Any,Electronics,Electronics/design development,1,"Announced on March 22, 2024"
314,Silver Touch Technologies Ltd.,Ahmedabad,Onsite,Any,IT,IT/AIML/Automation/Data Analytics,1,"Announced on March 22, 2024"
315,Skill peritia (Catalyst Edutech Pvt. Ltd.) - Non Tech,Mumbai,Onsite,Any,Edtech,Management/Content Creation for PCM students,1,"Announced on March 22, 2024"
320,Solutionec Pvt. Ltd,Bengaluru,Onsite,Any,IT,IT/Data Engineering/BI Visualization/App Dev,4,"Announced on March 22, 2024"
321,Sree Mahasar Packing Industries - Non Tech,Hyderabad,Onsite,Any,Manufacturing,Management/Digital Marketing,1,"Announced on March 22, 2024"
322,Sree Mahasar Packing Industries - Tech,Hyderabad,Onsite,Any,Manufacturing,IT/Web Development/App Development,2,"Announced on March 22, 2024"
325,Staffingine Technologies Private Limited,"Zirakpur, Punjab",Onsite,Any,Management,Management/HR/Recruitment,3,"Announced on March 22, 2024"
326,Starflex Sealing India Pvt. Ltd.,Goa,Onsite,Any,Mechanical,Mechanical,1,"Announced on March 22, 2024"
327,Stocklite Gemms Private Limited,Bengaluru,Onsite,Any,Management,Management/Business Development,1,"Announced on March 22, 2024"
329,Suzlon Foundation,Pune,Onsite,Any,Others,Management/Documentation and Analysis and Campaign,1,"Announced on March 22, 2024"
335,The Teaser Company,New delhi,Onsite,Any,Management,Management/Creative Strategy/Growth Analyst/Video Editing/D2C Dynamo,4,"Announced on March 22, 2024"
336,T-Hub Foundation,Hyderabad,Onsite,Any,Management,Management,5,"Announced on March 22, 2024"
338,Tilicho Fintech Private Limited - Non Tech,Visakhapatnam,Onsite,Any,IT,Management/Project Management,1,"Announced on March 22, 2024"
339,Tilicho Fintech Private Limited - Tech,Visakhapatnam,Onsite,Any,IT,IT/Software Development,1,"Announced on March 22, 2024"
349,Union Chemicar India Pvt. Ltd - Business Development,Nagpur,Onsite,Any,Manufacturing,Management/Business Development,1,"Announced on March 22, 2024"
356,Valvoline Cummins India Pvt. Ltd - Sales,Gurugram,Onsite,Any,Manufacturing,Management/Marketing/Sales,1,"Announced on March 22, 2024"
363,WALR Brothers LLP - Non Tech,Indore,Onsite,Any,Management,Management/Social Media Marketing/Graphic Designing/Copywriting,3,"Announced on March 22, 2024"
364,WALR Brothers LLP - Tech,Indore,Onsite,Any,Management,IT/Web Developer,1,"Announced on March 22, 2024"
365,Yashoda Hospitals,Hyderabad,Onsite,Any,Healthcare,IT/Electronics/Mechanical/Pharmacy,6,"Announced on March 22, 2024"
46,Birla Science Centre,Pilani,Onsite  ,Any,Others,Electronics,4,"Announced on March 22, 2024"
131,GPLAN Services Private Limited - Non IT,Pilani,Online,"Any, B3",IT,"Management/Strategic Business Development for Product Management, Marketing and Branding",1,"Announced on March 22, 2024"
146,Hytech Professionals India,Noida,Onsite,"B1, B5, A7, A3",IT,IT/AI/ML/Data Science,1,"Announced on March 22, 2024"
358,Vendorskart Online Services Pvt. Ltd,New delhi,Online,"B3, Any",Management,Management/Marketing/Finance,2,"Announced on March 22, 2024"
252,NHPC Limited - Management,Faridabad,Onsite,"B3, Any",Mechanical,Management/Finance,1,"Announced on March 22, 2024"
130,GPLAN Services Private Limited - IT,Pilani,Online,"B4, A7",IT,IT/Software Development/Graph Algorithmic Optimization,2,"Announced on March 22, 2024"
133,Harish-Chandra Research Institute,"Prayagraj, Allahabad",Onsite,"B4, B5, A7",IT,IT/Theoretical/Computational physics and mathematics,1,"Announced on March 22, 2024"
239,National Centre for Polar and Ocean Research (NCPOR) - Polar Science Data,Goa,Onsite,"B4, B5, A7",Electronics,Electronics/GIS/MATLAB/AIML,1,"Announced on March 22, 2024"
240,National Centre for Polar and Ocean Research (NCPOR) - Precipitation Patterns,Goa,Onsite,"B4, B5, A7, D2",Electronics,Electronics/Precipitation Patterns,1,"Announced on March 22, 2024"
42,Bhabha Atomic Research Centre (BARC),Visakhapatnam,Onsite,"B5, A3, AA, A8, A7, A4 ",Mechanical,Mechanical/Physics/Electronics/IT,12,"Announced on March 22, 2024"
109,DRDO - Solid State Physics Laboratory (SSPL),New delhi,Onsite,"B5, A3, AA, A8, B2, A1, A7, ",Electronics/Physics,Electronics/Physics ,5,"Announced on March 22, 2024"
238,National Centre for Polar and Ocean Research (NCPOR) - Ocean front detection and variablity,Goa,Onsite,"B5, A7",Electronics,IT/Python/ML,1,"Announced on March 22, 2024"
